Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_4303,,LysR family transcriptional regulator,14,14,1.0,1,5031,,,,858,876,861.0,0_refound_3692,HMDFDK_02125,DGIGOC_06130,OELDID_25400,4_refound_20253,NFOGGK_12940,DILMCD_20655,7_refound_32633,8_refound_36780,9_refound_40907,,,CELEIN_12375,13_refound_57696,14_refound_61827,15_refound_66021,
group_4288,,Chlorhexidine efflux transporter,14,14,1.0,1,5008,,,,432,441,437.625,0_refound_3691,HMDFDK_21915,DGIGOC_25285,OELDID_06245,4_refound_20251,NFOGGK_22440,DILMCD_10810,CJMOAC_08445,8_refound_36776,9_refound_40904,,,CELEIN_22310,13_refound_57692,OFJEOJ_07960,15_refound_66017,
group_4191,,TetR family transcriptional regulator,14,14,1.0,1,4895,,,,645,669,664.2,AEKEPN_20680,1_refound_7860,2_refound_12062,3_refound_16137,4_refound_20237,5_refound_24407,6_refound_28600,7_refound_32618,GGGPIC_09585,9_refound_40889,10_refound_45077,11_refound_49317,,,14_refound_61814,,16_refound_68973
hTD2,;hTD2,MaoC-dehydrat-N domain-containing protein;transposase,14,14,1.0,1,4890,,,,822,840,829.7142857142857,,,2_refound_12059,3_refound_16134,NDFCFG_14010,5_refound_24404,6_refound_28597,CJMOAC_14195,GGGPIC_12940,,10_refound_45074,11_refound_49314,12_refound_53579,FNPKGJ_16315,OFJEOJ_17530,OGPOLJ_17305,MOKLEP_03895
group_4175,,hypothetical protein,14,14,1.0,1,4875,,,,207,225,209.57142857142858,0_refound_3674,HMDFDK_26865,DGIGOC_07815,OELDID_23715,4_refound_20230,NFOGGK_11260,DILMCD_14360,7_refound_32613,8_refound_36762,KLDNLM_20030,10_refound_45072,11_refound_49312,CELEIN_18755,,14_refound_61811,,
group_4129,,Acyltransferase,14,14,1.0,1,4819,,,,1128,1128,1128.0,0_refound_1259,1_refound_5400,2_refound_9552,3_refound_13621,4_refound_17838,5_refound_21902,6_refound_25992,CJMOAC_08730,8_refound_34562,9_refound_38694,10_refound_42833,11_refound_47062,12_refound_51129,13_refound_55491,,,
group_4092,,DAO domain-containing protein,14,14,1.0,1,4782,,,,1134,1134,1134.0,0_refound_95,HMDFDK_03810,2_refound_8844,3_refound_12911,4_refound_17018,5_refound_21193,6_refound_25280,CJMOAC_17460,,,KAGCPN_16585,NDMAAC_16580,12_refound_50313,13_refound_54596,OFJEOJ_23410,15_refound_62905,
group_4085,,RNA polymerase subunit sigma-24,14,14,1.0,1,4775,,,,567,579,573.5454545454545,AEKEPN_04625,HMDFDK_10950,,,4_refound_20216,,DILMCD_23215,CJMOAC_19700,GGGPIC_06150,9_refound_40867,10_refound_45051,11_refound_49291,CELEIN_04895,FNPKGJ_05640,14_refound_61790,OGPOLJ_05305,16_refound_68947
group_4082,,two-component sensor histidine kinase,14,14,1.0,1,4772,,,,1134,1134,1134.0,0_refound_857,1_refound_5038,2_refound_9130,3_refound_13200,NDFCFG_16720,5_refound_21483,6_refound_25824,,GGGPIC_13205,,KAGCPN_18390,NDMAAC_18385,12_refound_50848,FNPKGJ_16180,14_refound_59228,OGPOLJ_17175,
group_4065,,XRE family transcriptional regulator,14,14,1.0,1,4753,,,,1137,1137,1137.0,0_refound_2702,1_refound_6806,2_refound_11100,3_refound_15180,4_refound_19151,5_refound_23453,6_refound_27620,7_refound_31612,,9_refound_39863,10_refound_44019,11_refound_48259,12_refound_52588,,14_refound_60785,OGPOLJ_03540,
group_4041,,Histidinol phosphatase;histidinol phosphatase,14,14,1.0,1,4728,,,,765,792,777.0,AEKEPN_03010,HMDFDK_02340,DGIGOC_14900,OELDID_16630,4_refound_20201,5_refound_24380,DILMCD_20710,7_refound_32587,GGGPIC_18860,9_refound_40857,10_refound_45040,11_refound_49280,CELEIN_12320,,14_refound_61779,,
group_3999,,MFS domain-containing protein,14,14,1.0,1,4677,,,,1146,1146,1146.0,0_refound_2646,1_refound_6752,2_refound_11029,3_refound_15107,4_refound_19088,5_refound_23382,6_refound_27546,7_refound_31536,8_refound_35640,9_refound_39791,,,12_refound_52505,13_refound_56599,OFJEOJ_17660,15_refound_64990,
dgoD,dgoD,galactonate dehydratase,14,14,1.0,1,4635,,,,1149,1149,1149.0,AEKEPN_23700,,DGIGOC_26465,OELDID_05065,NDFCFG_22805,NFOGGK_21270,DILMCD_12080,,GGGPIC_01055,KLDNLM_21665,KAGCPN_20785,NDMAAC_20795,CELEIN_21135,FNPKGJ_00160,OFJEOJ_21050,OGPOLJ_00160,
group_3963,,DUF2442 domain-containing protein;hypothetical protein,14,14,1.0,1,4629,,,,447,468,452.25,0_refound_3644,HMDFDK_19120,DGIGOC_22180,OELDID_09350,4_refound_20187,NFOGGK_25545,DILMCD_07730,7_refound_32574,,9_refound_40848,,,CELEIN_25535,FNPKGJ_27075,14_refound_61767,OGPOLJ_26830,16_refound_68915
group_3959,,isocitrate lyase/phosphoenolpyruvate mutase family protein,14,14,1.0,1,4624,,,,813,837,818.3333333333334,AEKEPN_14370,,DGIGOC_01425,OELDID_01435,4_refound_20186,NFOGGK_17640,DILMCD_15940,7_refound_32573,,KLDNLM_14140,10_refound_45027,11_refound_49267,CELEIN_17140,FNPKGJ_08470,14_refound_61766,OGPOLJ_12450,
group_3953,,hemolysin D,14,14,1.0,1,4618,,,,1152,1152,1152.0,0_refound_1785,1_refound_5950,2_refound_10125,3_refound_14199,4_refound_18319,5_refound_22481,6_refound_26578,7_refound_30626,GGGPIC_22100,9_refound_39173,,,12_refound_51697,13_refound_55968,OFJEOJ_10620,15_refound_64289,
group_3947,,tyrosine-protein kinase,14,14,1.0,1,4609,,,,2109,2229,2218.090909090909,AEKEPN_09980,,DGIGOC_27815,OELDID_03715,NDFCFG_09445,NFOGGK_19920,DILMCD_13415,7_refound_32570,,KLDNLM_11580,10_refound_45024,11_refound_49264,CELEIN_19770,FNPKGJ_17355,,OGPOLJ_18305,MOKLEP_16920
group_3923,,TetR/AcrR family transcriptional regulator;Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR,14,14,1.0,1,4583,,,,564,627,620.7,0_refound_3638,HMDFDK_03505,DGIGOC_02590,OELDID_00270,,NFOGGK_16470,DILMCD_17980,,8_refound_36717,KLDNLM_17485,KAGCPN_15865,NDMAAC_15860,CELEIN_14970,13_refound_57633,OFJEOJ_19970,15_refound_65959,
group_3911,,SAM-dependent methyltransferase,14,14,1.0,1,4570,,,,669,684,672.0,0_refound_3635,HMDFDK_08600,2_refound_12021,3_refound_16096,,5_refound_24366,6_refound_28560,CJMOAC_17050,8_refound_36715,,10_refound_45020,11_refound_49260,12_refound_53540,13_refound_57631,OFJEOJ_23075,15_refound_65957,
patD,patD,gamma-aminobutyraldehyde dehydrogenase,14,14,1.0,1,4540,,,,1458,1488,1473.0,AEKEPN_05680,HMDFDK_10375,DGIGOC_12535,OELDID_18995,NDFCFG_24520,NFOGGK_06540,DILMCD_23820,,,9_refound_40837,KAGCPN_06365,NDMAAC_06355,CELEIN_05535,FNPKGJ_06460,14_refound_61758,OGPOLJ_06120,
group_3870,,thioesterase,14,14,1.0,1,4522,,,,504,516,506.7692307692308,AEKEPN_22270,HMDFDK_03185,DGIGOC_06475,OELDID_25055,NDFCFG_17330,NFOGGK_12600,DILMCD_19595,CJMOAC_13060,GGGPIC_12995,9_refound_40836,,,CELEIN_13330,FNPKGJ_16255,OFJEOJ_18785,OGPOLJ_17245,
wecB,wecB,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),14,14,1.0,1,4506,,,,1164,1164,1164.0,AEKEPN_17405,HMDFDK_14665,2_refound_8599,3_refound_12666,4_refound_16746,5_refound_20946,6_refound_25020,CJMOAC_24405,8_refound_33361,9_refound_37519,10_refound_41646,11_refound_45875,12_refound_50054,,,15_refound_62598,
group_3855,,hypothetical protein;Txe/YoeB family addiction module toxin,14,14,1.0,1,4505,,,,255,543,327.0,AEKEPN_04890,1_refound_7797,2_refound_12015,3_refound_16090,NDFCFG_25240,5_refound_24360,6_refound_28553,,8_refound_36706,9_refound_40835,10_refound_45010,11_refound_49250,12_refound_53534,FNPKGJ_25950,,OGPOLJ_25655,
group_3843,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,14,14,1.0,1,4492,,,,1152,1176,1154.1818181818182,AEKEPN_18870,1_refound_7793,DGIGOC_27450,OELDID_04080,,NFOGGK_20285,DILMCD_13055,CJMOAC_10720,,KLDNLM_20610,10_refound_45007,11_refound_49247,CELEIN_20140,FNPKGJ_10285,OFJEOJ_10010,OGPOLJ_10315,
group_3816,gdhA,amino acid dehydrogenase,14,14,1.0,1,4464,,,,1170,1170,1170.0,0_refound_3044,1_refound_7131,2_refound_11433,3_refound_15509,4_refound_19494,5_refound_23782,6_refound_27951,7_refound_31946,,9_refound_40195,10_refound_44358,11_refound_48598,12_refound_52928,,14_refound_61128,,MOKLEP_14205
group_3802,,MFS transporter,14,14,1.0,1,4448,,,,1170,1170,1170.0,0_refound_1627,1_refound_5776,2_refound_9938,3_refound_14010,4_refound_18167,5_refound_22293,6_refound_26379,7_refound_30422,GGGPIC_08010,9_refound_39020,10_refound_43163,11_refound_47394,12_refound_51510,,14_refound_59928,,
group_3716,,LysR family transcriptional regulator,14,14,1.0,1,4347,,,,888,978,909.5,AEKEPN_19165,1_refound_7767,DGIGOC_06960,OELDID_24570,NDFCFG_11545,NFOGGK_12115,6_refound_28530,CJMOAC_24410,8_refound_36684,9_refound_40808,,,12_refound_53508,13_refound_57603,14_refound_61732,15_refound_65928,
group_3697,,DUF2252 domain-containing protein,14,14,1.0,1,4322,,,,1185,1185,1185.0,0_refound_2435,1_refound_6551,2_refound_10807,3_refound_14883,4_refound_18908,5_refound_23160,6_refound_27322,7_refound_31295,8_refound_35422,9_refound_39606,,,12_refound_52292,FNPKGJ_16265,14_refound_60703,OGPOLJ_17255,
group_3692,,type VI secretion system tip protein VgrG,14,14,1.0,1,4315,,,,1185,1185,1185.0,0_refound_1367,1_refound_5508,2_refound_9666,3_refound_13735,4_refound_17938,5_refound_22016,6_refound_26114,CJMOAC_15040,8_refound_34662,9_refound_38787,10_refound_42930,11_refound_47161,12_refound_51242,,14_refound_59685,,
group_3671,,Cro/Cl family transcriptional regulator,14,14,1.0,1,4289,,,,558,582,564.5454545454545,AEKEPN_12385,HMDFDK_00110,DGIGOC_04200,OELDID_27330,NDFCFG_18815,NFOGGK_14860,DILMCD_17790,,GGGPIC_10710,9_refound_40801,10_refound_44972,11_refound_49212,CELEIN_15245,FNPKGJ_10825,,OGPOLJ_10870,
group_3668,,CoA transferase,14,14,1.0,1,4286,,,,1188,1188,1188.0,0_refound_1457,1_refound_5596,2_refound_9756,3_refound_13825,4_refound_18020,5_refound_22106,6_refound_26206,CJMOAC_22340,,9_refound_38861,10_refound_43001,11_refound_47231,12_refound_51333,,OFJEOJ_28395,,16_refound_67669
fabV,fabV,Enoyl-[acyl-carrier-protein] reductase [NADH],14,14,1.0,1,4214,,,,1197,1197,1197.0,0_refound_1499,1_refound_5643,2_refound_9804,3_refound_13873,4_refound_18050,5_refound_22154,6_refound_26243,CJMOAC_25810,GGGPIC_08815,9_refound_38893,,,12_refound_51373,FNPKGJ_08790,OFJEOJ_17000,OGPOLJ_08130,
group_3596,potC,spermidine/putrescine ABC transporter permease,14,14,1.0,1,4207,,,,810,828,821.5714285714286,AEKEPN_05660,HMDFDK_10395,DGIGOC_12555,OELDID_18975,NDFCFG_24540,NFOGGK_06520,DILMCD_23800,,,KLDNLM_24360,KAGCPN_06345,NDMAAC_06335,CELEIN_05515,FNPKGJ_06440,OFJEOJ_24815,OGPOLJ_06100,
group_3558,,HlyD family secretion protein,14,14,1.0,1,4160,,,,1254,1296,1264.5,0_refound_3584,1_refound_7739,2_refound_11968,3_refound_16044,4_refound_20107,5_refound_24314,6_refound_28505,CJMOAC_15650,GGGPIC_17270,9_refound_40781,,,12_refound_53484,FNPKGJ_18205,14_refound_61701,OGPOLJ_19165,
group_3544,,LysR family transcriptional regulator,14,14,1.0,1,4143,,,,873,957,913.0,,HMDFDK_10970,2_refound_11963,3_refound_16039,,5_refound_24309,6_refound_28501,7_refound_32509,GGGPIC_06115,9_refound_40778,KAGCPN_15080,NDMAAC_15075,12_refound_53481,FNPKGJ_05605,14_refound_61697,OGPOLJ_05270,
group_3541,,helix-turn-helix transcriptional regulator;transcriptional regulator,14,14,1.0,1,4140,,,,2805,2910,2850.0,AEKEPN_12020,,DGIGOC_28535,OELDID_02995,NDFCFG_19130,NFOGGK_19200,DILMCD_28155,,GGGPIC_12250,KLDNLM_19345,KAGCPN_18740,NDMAAC_18735,CELEIN_10640,FNPKGJ_17500,OFJEOJ_12835,OGPOLJ_18450,
group_3534,,iron ABC transporter substrate-binding protein,14,14,1.0,1,4132,,,,1014,1089,1023.375,AEKEPN_15130,1_refound_7728,DGIGOC_03770,OELDID_27760,,NFOGGK_15290,DILMCD_18385,CJMOAC_16230,8_refound_36645,KLDNLM_15930,10_refound_44946,11_refound_49186,12_refound_53478,13_refound_57575,,15_refound_65900,
group_3466,,hypothetical protein,14,14,1.0,1,4049,,,,408,417,414.75,0_refound_3567,1_refound_7718,2_refound_11955,3_refound_16031,4_refound_20088,5_refound_24301,6_refound_28491,CJMOAC_07100,,9_refound_40767,,,12_refound_53470,13_refound_57565,OFJEOJ_06570,15_refound_65891,16_refound_68770
group_3462,,ABC-type transport auxiliary lipoprotein component,14,14,1.0,1,4045,,,,585,606,599.0,0_refound_3565,,2_refound_11954,3_refound_16030,4_refound_20086,5_refound_24300,6_refound_28490,CJMOAC_08585,8_refound_36637,,10_refound_44932,11_refound_49172,12_refound_53469,FNPKGJ_20150,OFJEOJ_08075,15_refound_65890,
group_3452,,DUF6124 domain-containing protein,14,14,1.0,1,4029,,,,264,294,274.0,0_refound_3563,1_refound_7715,2_refound_11953,3_refound_16029,,5_refound_24299,6_refound_28489,7_refound_32497,GGGPIC_22825,,10_refound_44931,11_refound_49171,12_refound_53468,FNPKGJ_25385,14_refound_61684,OGPOLJ_25130,
group_3422,,DUF72 domain-containing protein,14,14,1.0,1,3996,,,,729,777,745.0,0_refound_3557,,DGIGOC_06275,OELDID_25255,NDFCFG_11625,NFOGGK_12800,DILMCD_19520,,8_refound_36628,9_refound_40761,10_refound_44926,11_refound_49166,CELEIN_13410,13_refound_57556,14_refound_61680,15_refound_65881,
nqrF,nqrF,NADH:ubiquinone reductase (Na(+)-transporting) subunit F,14,14,1.0,1,3981,,,,1224,1224,1224.0,0_refound_2846,1_refound_6945,2_refound_11237,3_refound_15315,4_refound_19297,5_refound_23587,6_refound_27758,7_refound_31753,,9_refound_39999,10_refound_44164,11_refound_48405,12_refound_52731,,14_refound_60930,,MOKLEP_05230
qdoI,;qdoI,Cro/Cl family transcriptional regulator;Cupin domain protein related to quercetin dioxygenase;cupin domain-containing protein,14,14,1.0,1,3940,,,,597,633,608.4,AEKEPN_15225,HMDFDK_01935,2_refound_11949,3_refound_16025,NDFCFG_13600,5_refound_24295,6_refound_28485,CJMOAC_14465,8_refound_36621,9_refound_40758,,,12_refound_53465,13_refound_57550,OFJEOJ_17205,15_refound_65875,
group_3365,,Chemotaxis response regulator protein-glutamate methylesterase,14,14,1.0,1,3927,,,,1230,1230,1230.0,0_refound_2427,1_refound_6542,2_refound_10798,3_refound_14874,4_refound_18903,5_refound_23151,6_refound_27313,,8_refound_35414,,10_refound_43755,11_refound_47991,12_refound_52280,FNPKGJ_14720,14_refound_60696,OGPOLJ_15625,
group_3362,,Acyl-transf-3 domain-containing protein;acyltransferase,14,14,1.0,1,3924,,,,870,1158,1014.0,0_refound_3553,1_refound_7701,,,4_refound_20073,,6_refound_28484,7_refound_32481,GGGPIC_09015,9_refound_40756,10_refound_44920,11_refound_49160,12_refound_53464,13_refound_57549,OFJEOJ_09340,15_refound_65874,16_refound_68739
group_3341,,24-dienoyl-CoA reductase,14,14,1.0,1,3896,,,,1233,1233,1233.0,AEKEPN_17435,1_refound_4377,DGIGOC_02210,OELDID_00650,NDFCFG_16995,NFOGGK_16850,,7_refound_29258,8_refound_33362,,10_refound_41647,11_refound_45876,12_refound_50055,FNPKGJ_12830,OFJEOJ_11060,OGPOLJ_13260,
group_3285,,Amino acid dehydrogenase,14,14,1.0,1,3830,,,,1242,1242,1242.0,0_refound_359,HMDFDK_26285,2_refound_9031,3_refound_13097,,5_refound_21379,6_refound_25485,CJMOAC_30305,8_refound_33884,9_refound_37978,10_refound_42102,11_refound_46331,12_refound_50508,13_refound_54786,,15_refound_63094,
group_3272,,glycosyl transferase family 1,14,14,1.0,1,3813,,,,1245,1245,1245.0,0_refound_712,,DGIGOC_25480,OELDID_06050,4_refound_17544,NFOGGK_22245,DILMCD_25330,7_refound_29991,,9_refound_38258,10_refound_42384,11_refound_46612,CELEIN_07090,13_refound_55049,14_refound_59124,15_refound_63364,
group_3259,,MFS domain-containing protein,14,14,1.0,1,3799,,,,1248,1248,1248.0,,1_refound_6533,2_refound_10790,3_refound_14867,4_refound_18894,5_refound_23144,6_refound_27305,7_refound_31277,8_refound_35404,9_refound_39593,10_refound_43745,11_refound_47980,12_refound_52270,FNPKGJ_13735,,OGPOLJ_14585,
group_3249,,pyruvate carboxyltransferase,14,14,1.0,1,3789,,,,1248,1248,1248.0,0_refound_1481,,2_refound_9787,3_refound_13856,4_refound_18039,5_refound_22137,6_refound_26232,CJMOAC_25120,8_refound_34763,9_refound_38884,10_refound_43022,11_refound_47252,12_refound_51360,13_refound_55707,,15_refound_64018,
group_3242,nirD;,nitrite reductase (NAD(P)H) small subunit;Nitrite reductase (NAD(P)H) small subunit,14,14,1.0,1,3781,,,,363,387,379.5,AEKEPN_18060,HMDFDK_04210,,,NDFCFG_17815,5_refound_24285,6_refound_28473,7_refound_32468,,KLDNLM_16555,KAGCPN_15500,NDMAAC_15495,12_refound_53452,FNPKGJ_16065,OFJEOJ_14435,OGPOLJ_17055,MOKLEP_00660
group_3211,,methionine gamma-lyase,14,14,1.0,1,3738,,,,1254,1254,1254.0,0_refound_1477,1_refound_5621,2_refound_9782,3_refound_13851,4_refound_18036,5_refound_22132,6_refound_26228,CJMOAC_24860,GGGPIC_16255,9_refound_38880,,,12_refound_51355,FNPKGJ_12360,14_refound_59787,OGPOLJ_12785,
group_3137,,hypothetical protein,14,14,1.0,1,3656,,,,378,480,429.0,,1_refound_7659,2_refound_11928,3_refound_16004,,5_refound_24273,6_refound_28460,7_refound_32449,8_refound_36574,9_refound_40724,10_refound_44886,11_refound_49126,12_refound_53438,FNPKGJ_01165,14_refound_61636,OGPOLJ_01150,
group_3128,,AAA family ATPase,14,14,1.0,1,3645,,,,1161,1395,1219.5,,1_refound_7655,DGIGOC_10385,OELDID_21145,4_refound_20033,NFOGGK_08690,6_refound_28457,7_refound_32445,8_refound_36570,,10_refound_44884,11_refound_49124,CELEIN_07765,13_refound_57511,14_refound_61632,15_refound_65836,
group_3126,,MFS transporter,14,14,1.0,1,3642,,,,1266,1266,1266.0,AEKEPN_15545,HMDFDK_02135,2_refound_8558,3_refound_12624,NDFCFG_05020,5_refound_20904,6_refound_24987,7_refound_29211,8_refound_33317,9_refound_37483,,,12_refound_50014,13_refound_54247,14_refound_58362,15_refound_62551,
group_3118,,hypothetical protein,14,14,1.0,1,3633,,,,207,303,271.0,0_refound_3515,,2_refound_11923,3_refound_15999,4_refound_20029,5_refound_24268,DILMCD_21810,,8_refound_36567,KLDNLM_15640,10_refound_44881,11_refound_49121,CELEIN_11110,13_refound_57510,14_refound_61629,15_refound_65835,
group_3114,,Diguanylate cyclase,14,14,1.0,1,3628,,,,1269,1269,1269.0,,HMDFDK_12140,DGIGOC_14375,OELDID_17155,,NFOGGK_04700,DILMCD_21875,CJMOAC_21040,GGGPIC_23580,KLDNLM_05180,KAGCPN_04745,NDMAAC_04740,CELEIN_03630,FNPKGJ_26350,OFJEOJ_26620,OGPOLJ_26055,
group_3112,,N-acetyltransferase domain-containing protein,14,14,1.0,1,3626,,,,498,525,511.5,0_refound_3512,1_refound_7650,2_refound_11921,3_refound_15997,,5_refound_24266,6_refound_28453,7_refound_32440,,9_refound_40716,10_refound_44878,11_refound_49118,12_refound_53430,FNPKGJ_18580,,OGPOLJ_19545,16_refound_68680
group_3098,,DUF6124 domain-containing protein,14,14,1.0,1,3612,,,,243,243,243.0,,1_refound_7644,2_refound_11917,3_refound_15993,4_refound_20024,5_refound_24262,6_refound_28450,7_refound_32434,,9_refound_40709,10_refound_44874,11_refound_49114,12_refound_53425,FNPKGJ_22215,,OGPOLJ_22085,16_refound_68677
group_3091,,chemotaxis protein,14,14,1.0,1,3604,,,,1305,1305,1305.0,0_refound_3509,1_refound_7643,2_refound_11915,3_refound_15991,4_refound_20023,5_refound_24260,6_refound_28448,7_refound_32433,,,10_refound_44872,11_refound_49112,12_refound_53424,FNPKGJ_15095,14_refound_61624,OGPOLJ_16020,
group_3055,,Carboxymuconolactone decarboxylase family,14,14,1.0,1,3565,,,,348,348,348.0,0_refound_3496,1_refound_7632,2_refound_11903,3_refound_15979,4_refound_20011,5_refound_24248,,7_refound_32420,8_refound_36553,9_refound_40698,KAGCPN_28340,NDMAAC_28340,12_refound_53410,13_refound_57507,,15_refound_65831,
group_3005,,hypothetical protein,14,14,1.0,1,3511,,,,120,120,120.0,0_refound_3479,1_refound_7616,2_refound_11881,3_refound_15959,4_refound_19995,5_refound_24227,6_refound_28409,,8_refound_36530,9_refound_40674,KAGCPN_00505,NDMAAC_07610,,13_refound_57483,14_refound_61596,15_refound_65812,
group_2967,ccmA,heme ABC exporter ATP-binding protein CcmA,14,14,1.0,1,3470,,,,1512,1512,1512.0,0_refound_3468,,2_refound_11865,3_refound_15944,4_refound_19982,5_refound_24212,6_refound_28392,,GGGPIC_11810,9_refound_40662,10_refound_44845,11_refound_49085,12_refound_53378,FNPKGJ_17595,14_refound_61585,OGPOLJ_18550,
group_2933,,MFS transporter,14,14,1.0,1,3433,,,,1356,1356,1356.0,0_refound_3444,1_refound_7586,2_refound_11842,3_refound_15921,4_refound_19962,5_refound_24189,,CJMOAC_17150,8_refound_36509,9_refound_40643,10_refound_44830,11_refound_49070,,,14_refound_61573,OGPOLJ_07120,16_refound_68641
group_2907,,porin,14,14,1.0,1,3405,,,,1302,1302,1302.0,0_refound_1492,1_refound_5638,2_refound_9797,3_refound_13866,4_refound_18046,5_refound_22147,6_refound_26239,CJMOAC_25655,8_refound_34769,9_refound_38890,,,12_refound_51369,13_refound_55717,OFJEOJ_13525,15_refound_64030,
group_2870,,type IV secretion protein Rhs,14,14,1.0,1,3365,,,,4719,4719,4719.0,0_refound_3427,1_refound_7570,,,4_refound_19946,,DILMCD_26535,7_refound_32374,GGGPIC_10625,KLDNLM_20335,KAGCPN_02635,NDMAAC_02630,CELEIN_08925,13_refound_57464,14_refound_61565,15_refound_65792,16_refound_68631
group_2770,,histidine kinase,14,14,1.0,1,3258,,,,1818,1818,1818.0,0_refound_3381,1_refound_7526,2_refound_11790,3_refound_15867,4_refound_19908,5_refound_24136,6_refound_28331,7_refound_32336,,KLDNLM_11915,KAGCPN_14870,NDMAAC_14865,12_refound_53316,,14_refound_61528,,16_refound_68604
group_2762,,two-component sensor histidine kinase,14,14,1.0,1,3250,,,,1326,1326,1326.0,AEKEPN_19680,,2_refound_8655,3_refound_12722,NDFCFG_18455,5_refound_21002,DILMCD_21705,,8_refound_33430,KLDNLM_12855,KAGCPN_16695,NDMAAC_16690,CELEIN_11215,FNPKGJ_17240,OFJEOJ_16920,OGPOLJ_18190,
group_2750,,colicin transporter,14,14,1.0,1,3238,,,,258,258,258.0,0_refound_3371,1_refound_7513,2_refound_11786,3_refound_15863,4_refound_19898,5_refound_24132,6_refound_28325,7_refound_32327,,,KAGCPN_05880,NDMAAC_05870,12_refound_53308,13_refound_57429,14_refound_61519,15_refound_65756,
group_2744,,lysozyme,14,14,1.0,1,3232,,,,567,567,567.0,,,2_refound_11787,3_refound_15864,4_refound_19899,5_refound_24133,DILMCD_16905,CJMOAC_18405,8_refound_36458,9_refound_40590,KAGCPN_07005,NDMAAC_07000,CELEIN_19450,FNPKGJ_06325,OFJEOJ_24165,OGPOLJ_05985,
group_2743,,colicin transporter,14,14,1.0,1,3231,,,,258,258,258.0,0_refound_3370,,DGIGOC_11500,OELDID_20030,,NFOGGK_07575,6_refound_28324,7_refound_32326,8_refound_36457,KLDNLM_07830,KAGCPN_02510,NDMAAC_02505,CELEIN_06525,13_refound_57428,14_refound_61518,15_refound_65755,
group_2731,,DUF6124 domain-containing protein,14,14,1.0,1,3219,,,,333,333,333.0,0_refound_3365,,DGIGOC_07950,OELDID_23580,4_refound_19892,NFOGGK_11125,DILMCD_14235,7_refound_32321,8_refound_36453,9_refound_40587,KAGCPN_23370,NDMAAC_23375,,13_refound_57422,14_refound_61513,15_refound_65749,
group_2723,,hypothetical protein,14,14,1.0,1,3211,,,,384,384,384.0,0_refound_3363,1_refound_7506,2_refound_11784,3_refound_15861,4_refound_19889,5_refound_24130,6_refound_28321,7_refound_32319,8_refound_36450,KLDNLM_04980,10_refound_44762,11_refound_49000,CELEIN_18250,,14_refound_61510,,
group_2708,,halovibrin HvnA,14,14,1.0,1,3193,,,,912,912,912.0,0_refound_3355,1_refound_7500,DGIGOC_24160,OELDID_07370,4_refound_19881,NFOGGK_23570,6_refound_28317,7_refound_32311,,9_refound_40580,10_refound_44756,11_refound_48993,,13_refound_57412,14_refound_61504,15_refound_65740,
group_2699,,type II toxin-antitoxin system RelE/ParE family toxin,14,14,1.0,1,3184,,,,357,357,357.0,0_refound_3352,,DGIGOC_04545,OELDID_26985,4_refound_19877,NFOGGK_14515,6_refound_28314,7_refound_32307,,KLDNLM_18090,10_refound_44753,11_refound_48990,12_refound_53300,,14_refound_61502,15_refound_65737,16_refound_68591
group_2673,,PAAR domain-containing protein,14,14,1.0,1,3154,,,,264,264,264.0,0_refound_3338,1_refound_7485,2_refound_11779,3_refound_15856,4_refound_19864,5_refound_24125,DILMCD_19600,CJMOAC_24695,8_refound_36432,KLDNLM_01235,,,CELEIN_16665,13_refound_57402,14_refound_61489,15_refound_65725,
group_2665,,DUF2946 domain-containing protein,14,14,1.0,1,3145,,,,390,390,390.0,0_refound_3335,1_refound_7482,2_refound_11778,3_refound_15855,4_refound_19861,5_refound_24124,6_refound_28304,CJMOAC_11195,GGGPIC_16040,,,,12_refound_53290,FNPKGJ_17080,14_refound_61487,OGPOLJ_18030,16_refound_68584
group_2650,,IS3 family transposase,14,14,1.0,1,3127,,,,846,846,846.0,0_refound_3328,1_refound_7475,DGIGOC_17930,,4_refound_19853,,6_refound_28299,,8_refound_36426,9_refound_40560,KAGCPN_03355,NDMAAC_03350,12_refound_53284,13_refound_57397,14_refound_61482,15_refound_65719,16_refound_68581
group_2644,,hypothetical protein,14,14,1.0,1,3121,,,,366,366,366.0,,1_refound_7470,2_refound_11770,3_refound_15847,4_refound_19849,5_refound_24116,DILMCD_22025,7_refound_32286,8_refound_36421,,10_refound_44741,11_refound_48978,CELEIN_23750,13_refound_57392,14_refound_61477,15_refound_65714,
