Gene,Non-unique Gene name,Annotation,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_5504,,DUF4440 domain-containing protein,AEKEPN_26120,HMDFDK_10890,DGIGOC_13045,OELDID_18485,NDFCFG_05520,NFOGGK_06030,DILMCD_23290,7_refound_32861,GGGPIC_05785,KLDNLM_06405,10_refound_45372_stop,11_refound_49612_stop,CELEIN_04980,FNPKGJ_05280,14_refound_62065,OGPOLJ_04950,
group_5503,,metal-dependent hydrolase,0_refound_1464_stop,1_refound_5604_stop,2_refound_9765_stop,3_refound_13834_stop,4_refound_18027_stop,5_refound_22115_stop,6_refound_26214,CJMOAC_24145,8_refound_34746_stop,KLDNLM_18060,KAGCPN_15215,NDMAAC_15210,12_refound_51342,13_refound_55689_stop,14_refound_59777,15_refound_64000,
group_5492,,hypothetical protein,AEKEPN_07805,HMDFDK_08155,DGIGOC_10210,OELDID_21320,NDFCFG_21660,NFOGGK_08865,DILMCD_28780,CJMOAC_29355,GGGPIC_21915,KLDNLM_09400,KAGCPN_22560,NDMAAC_22565,CELEIN_07950,FNPKGJ_24570,OFJEOJ_22430,OGPOLJ_24305,
cynR,cynR,transcriptional regulator CynR,AEKEPN_13920,1_refound_8167_stop,DGIGOC_00710,OELDID_02150,NDFCFG_17225,NFOGGK_18355,DILMCD_21410,CJMOAC_17060,GGGPIC_08395,KLDNLM_13630,10_refound_45368_stop,11_refound_49608_stop,CELEIN_11530,13_refound_57928,OFJEOJ_10695,15_refound_66251_stop,
group_5489,,Purine ribonucleoside efflux pump NepI;MFS transporter,AEKEPN_18590,HMDFDK_05750,DGIGOC_02675,OELDID_00185,NDFCFG_15170,NFOGGK_16385,DILMCD_17910,CJMOAC_15075,GGGPIC_13070,KLDNLM_17505,KAGCPN_10745,NDMAAC_10740,CELEIN_15060,FNPKGJ_16155,OFJEOJ_13950,OGPOLJ_17150,
group_5487,,GNAT family N-acetyltransferase,AEKEPN_18920,HMDFDK_19820,DGIGOC_00785,OELDID_02075,4_refound_20510,NFOGGK_18280,DILMCD_21290,CJMOAC_05960,8_refound_37049_stop,KLDNLM_12150,KAGCPN_20545,NDMAAC_20555,CELEIN_11665,13_refound_57926_stop,14_refound_62062_stop,15_refound_66249_stop,
group_5486,,NADPH-dependent ferric siderophore reductase,AEKEPN_05465,HMDFDK_20900,DGIGOC_24020,OELDID_07510,NDFCFG_24705,NFOGGK_23710,DILMCD_09615,CJMOAC_07290,GGGPIC_06320,KLDNLM_24120,KAGCPN_23505,NDMAAC_23510,CELEIN_23705,FNPKGJ_05855,OFJEOJ_06715,OGPOLJ_05520,
group_5485,,hypothetical protein;pilus assembly protein TadG-related protein,AEKEPN_03220,1_refound_8166_stop,DGIGOC_14670,OELDID_16860,NDFCFG_26710;NDFCFG_26705,NFOGGK_04405,DILMCD_00290,CJMOAC_23875,8_refound_37047,9_refound_41156_stop,10_refound_45365_stop,11_refound_49605_stop,CELEIN_03285,13_refound_57925_stop,14_refound_62061_stop,15_refound_66248_stop,
group_5483,,Str-synth domain-containing protein;gluconolactonase,AEKEPN_17560,HMDFDK_25665,DGIGOC_05545,OELDID_25985,NDFCFG_17115,NFOGGK_13525,DILMCD_16515,CJMOAC_31115,8_refound_37048,KLDNLM_18405,10_refound_45367_stop,11_refound_49607_stop,CELEIN_16530,FNPKGJ_18970,OFJEOJ_12215,OGPOLJ_19930,
group_5480,,adhesin;Adhesin,AEKEPN_16695,HMDFDK_02680,DGIGOC_04950,OELDID_26580,NDFCFG_15795,NFOGGK_14110,DILMCD_18660,CJMOAC_16650,GGGPIC_15350,KLDNLM_14905,KAGCPN_16110,NDMAAC_16105,CELEIN_14165,FNPKGJ_13055,OFJEOJ_15635,OGPOLJ_13485,
group_5471,,GFA family protein;CENP-V/GFA domain-containing protein;Aldehyde-activating protein;ADP-ribosylglycohydrolase,AEKEPN_22385,HMDFDK_23790,DGIGOC_27555,OELDID_03975,4_refound_20506_stop,NFOGGK_20180,DILMCD_13160,CJMOAC_10920,GGGPIC_10255,9_refound_41151_stop,KAGCPN_16535,NDMAAC_16530,CELEIN_20025,FNPKGJ_10350,14_refound_62059,OGPOLJ_10380,
group_5470,,3'-kinase;Streptomycin 3-kinase,AEKEPN_22375,HMDFDK_23800,DGIGOC_27565,OELDID_03965,4_refound_20505_stop,NFOGGK_20170,6_refound_28800_stop,CJMOAC_10930,GGGPIC_12095,9_refound_41150,10_refound_45361,11_refound_49601,12_refound_53773_stop,13_refound_57923_stop,OFJEOJ_10385,15_refound_66247_stop,
group_5460,,peptidase C39 family protein;hypothetical protein;Lipoprotein;Peptidase C39 domain-containing protein,AEKEPN_21355,HMDFDK_06635,DGIGOC_07825,OELDID_23705,NDFCFG_09590,NFOGGK_11250,DILMCD_14350,CJMOAC_11540,GGGPIC_17700,KLDNLM_20040,KAGCPN_10845,NDMAAC_10840,CELEIN_18765,FNPKGJ_18645,OFJEOJ_11315,OGPOLJ_19610,
group_5455,,Heme utilization protein;hypothetical protein;heme utilization protein,AEKEPN_16700,HMDFDK_02685,DGIGOC_04955,OELDID_26575,4_refound_20499_stop,NFOGGK_14105,DILMCD_18665,CJMOAC_16655,8_refound_37042_stop,KLDNLM_14900,KAGCPN_16115,NDMAAC_16110,CELEIN_14160,13_refound_57918_stop,OFJEOJ_15640,15_refound_66242_stop,
group_5443,,hypothetical protein,AEKEPN_21670,HMDFDK_06905,DGIGOC_07885,OELDID_23645,NDFCFG_09535,NFOGGK_11190,DILMCD_14290,CJMOAC_11475,GGGPIC_10530,KLDNLM_20090,KAGCPN_19875,NDMAAC_19885,CELEIN_18825,FNPKGJ_10680,OFJEOJ_11255,OGPOLJ_10710,
group_5438,,phenazine biosynthesis protein PhzF,0_refound_3895,1_refound_8154,2_refound_12249,3_refound_16321,4_refound_20496,5_refound_24592,6_refound_28788_stop,CJMOAC_30800,GGGPIC_10610,KLDNLM_20200,10_refound_45355_stop,11_refound_49595_stop,12_refound_53763,FNPKGJ_10740,OFJEOJ_19175,OGPOLJ_10780,
group_5435,,hypothetical protein,AEKEPN_20720,HMDFDK_25370,2_refound_12247,3_refound_16319,NDFCFG_10595,5_refound_24590,6_refound_28787_stop,7_refound_32847,8_refound_37037_stop,KLDNLM_19390,KAGCPN_18435,NDMAAC_18430,12_refound_53762_stop,13_refound_57912,14_refound_62049,15_refound_66236_stop,
group_5431,copD;,copper homeostasis membrane protein CopD;Copper resistance protein D,AEKEPN_10060,1_refound_8153,DGIGOC_27975,OELDID_03555,4_refound_20494_stop,NFOGGK_19760,6_refound_28784_stop,7_refound_32846_stop,8_refound_37034,KLDNLM_12355,KAGCPN_22980,NDMAAC_22985,CELEIN_19305,13_refound_57910,,15_refound_66234,16_refound_69309
group_5430,,LysR family transcriptional regulator,,HMDFDK_21920,DGIGOC_25290,OELDID_06240,4_refound_20493,NFOGGK_22435,DILMCD_10815,CJMOAC_08450,8_refound_37033_stop,9_refound_41137,10_refound_45353_stop,11_refound_49593_stop,CELEIN_22305,13_refound_57909_stop,OFJEOJ_07965,15_refound_66233_stop,16_refound_69308
group_5424,,LysR family transcriptional regulator;DNA-binding transcriptional LysR family regulator,AEKEPN_24795,1_refound_8151,DGIGOC_25255,OELDID_06275,4_refound_20492_stop,NFOGGK_22470,6_refound_28783,CJMOAC_08415,8_refound_37032,KLDNLM_22990,10_refound_45352_stop,11_refound_49592_stop,12_refound_53760_stop,FNPKGJ_24355,OFJEOJ_07940,OGPOLJ_24090,
group_5417,,Membrane protein,0_refound_90,HMDFDK_03685,DGIGOC_06235,OELDID_25295,4_refound_17015,NFOGGK_12835,DILMCD_20775,7_refound_29538_stop,8_refound_33685_stop,9_refound_37791,10_refound_41923,11_refound_46152,CELEIN_12190,13_refound_54592,OFJEOJ_12965,15_refound_62903_stop,
group_5416,,LysR family transcriptional regulator,AEKEPN_19710,HMDFDK_05975,DGIGOC_00295,OELDID_02565,NDFCFG_18480,NFOGGK_18770,DILMCD_21740,CJMOAC_12540,GGGPIC_10660,KLDNLM_12835,KAGCPN_11395,NDMAAC_11390,CELEIN_11180,FNPKGJ_10775,OFJEOJ_19010,OGPOLJ_10815,
group_5411,,alcohol dehydrogenase,0_refound_1911_stop,1_refound_6053,2_refound_10250,3_refound_14325,,5_refound_22607,6_refound_26713_stop,7_refound_30748,8_refound_34914_stop,KLDNLM_11920,10_refound_43434_stop,11_refound_47666_stop,12_refound_51831,13_refound_56067_stop,14_refound_60208,15_refound_64383_stop,MOKLEP_10200
group_5403,,hypothetical protein;fatty acid desaturase,AEKEPN_24820,1_refound_8147,DGIGOC_25230,OELDID_06300,4_refound_20486_stop,NFOGGK_22495,DILMCD_10780,7_refound_32842_stop,GGGPIC_21705,9_refound_41126,10_refound_45346_stop,11_refound_49586_stop,CELEIN_22345,13_refound_57899,OFJEOJ_07890,15_refound_66223,
group_5398,,AraC family transcriptional regulator,AEKEPN_21830,HMDFDK_20040,DGIGOC_08095,OELDID_23435,,NFOGGK_10980,DILMCD_13995,CJMOAC_30695,GGGPIC_12070,9_refound_41124_stop,10_refound_45345,11_refound_49585,CELEIN_19060,FNPKGJ_12075,OFJEOJ_19240,OGPOLJ_12350,16_refound_69301
group_5391,,asparaginase,,HMDFDK_20120,2_refound_8972_stop,3_refound_13038_stop,4_refound_17174_stop,5_refound_21320_stop,6_refound_25425_stop,7_refound_29670_stop,8_refound_33832_stop,9_refound_37922_stop,10_refound_42051,11_refound_46280,12_refound_50448_stop,13_refound_54735_stop,14_refound_58802_stop,15_refound_63042_stop,16_refound_67152
group_5389,,alpha/beta hydrolase;Alpha/beta hydrolase,AEKEPN_01355,HMDFDK_14010,DGIGOC_16335,OELDID_15195,NDFCFG_28370,NFOGGK_02740,DILMCD_01975,CJMOAC_22150,8_refound_37021_stop,KLDNLM_03240,10_refound_45343_stop,11_refound_49583_stop,CELEIN_01545,FNPKGJ_01850,OFJEOJ_28555,OGPOLJ_01610,
group_5385,,phosphoglycerate mutase;Phosphoglycerate mutase,AEKEPN_19790,HMDFDK_05945,2_refound_12239,3_refound_16311,4_refound_20484,5_refound_24582,DILMCD_21765,CJMOAC_30570,GGGPIC_12000,KLDNLM_16635,KAGCPN_11145,NDMAAC_11140,CELEIN_11155,FNPKGJ_11965,OFJEOJ_19320,OGPOLJ_12240,
group_5384,,histidine phosphatase family protein;Broad specificity phosphatase PhoE,0_refound_3889_stop,1_refound_8143,DGIGOC_00220,OELDID_02640,NDFCFG_18545,NFOGGK_18845,6_refound_28775_stop,7_refound_32840,8_refound_37018,9_refound_41120,10_refound_45340_stop,11_refound_49580_stop,12_refound_53751,13_refound_57894_stop,14_refound_62038_stop,15_refound_66219_stop,
group_5382,,DUF2790 domain-containing protein,AEKEPN_16585,HMDFDK_00960,DGIGOC_04815,OELDID_26715,NDFCFG_15685,NFOGGK_14245,DILMCD_17290,CJMOAC_16520,8_refound_37017_stop,KLDNLM_15025,10_refound_45339,11_refound_49579,CELEIN_15795,FNPKGJ_13250,OFJEOJ_15500,OGPOLJ_13680,
group_5381,,GNAT family N-acetyltransferase;N-acetyltransferase domain-containing protein;N-acetylglutamate synthase-like GNAT family acetyltransferase,0_refound_3887,HMDFDK_02350,2_refound_12237_stop,3_refound_16309_stop,4_refound_20482,5_refound_24580,DILMCD_20715,7_refound_32839,GGGPIC_18865,9_refound_41118,10_refound_45338,11_refound_49578,CELEIN_12315,,14_refound_62037_stop,OGPOLJ_21100,16_refound_69298
group_5379,,UDP-glucuronate 5-epimerase,0_refound_3886_stop,1_refound_8142,DGIGOC_28665,OELDID_02865,4_refound_20481_stop,NFOGGK_19070,DILMCD_28485,CJMOAC_16445,,KLDNLM_19200,KAGCPN_19330,NDMAAC_19340,CELEIN_10960,13_refound_57893_stop,OFJEOJ_15465,15_refound_66218_stop,16_refound_69297
group_5371,,Fe2OG dioxygenase domain-containing protein;proline hydroxylase,AEKEPN_17145,HMDFDK_00480,DGIGOC_05065,OELDID_26465,NDFCFG_16240,NFOGGK_14005,DILMCD_17025,CJMOAC_25445,8_refound_37015_stop,KLDNLM_16320,KAGCPN_17705,NDMAAC_17700,CELEIN_16055,13_refound_57891_stop,OFJEOJ_13295,15_refound_66216_stop,
group_5366,,XRE family transcriptional regulator,AEKEPN_14375,1_refound_8138,DGIGOC_01430,OELDID_01430,NDFCFG_12880,NFOGGK_17635,DILMCD_15945,7_refound_32835,8_refound_37013_stop,9_refound_41113_stop,10_refound_45335_stop,11_refound_49575_stop,CELEIN_17135,FNPKGJ_08465,14_refound_62032_stop,OGPOLJ_12445,
group_5350,,ATPase-AAA-core domain-containing protein;ATP-binding protein,AEKEPN_00935,HMDFDK_14395,DGIGOC_16875,OELDID_14655,NDFCFG_28770,NFOGGK_02200,DILMCD_02500,CJMOAC_21520,GGGPIC_02095,KLDNLM_02770,KAGCPN_02225,NDMAAC_02225,CELEIN_01080,FNPKGJ_01190,OFJEOJ_29000,OGPOLJ_01180,
group_5349,,beta-ketoacyl-[acyl-carrier-protein] synthase II,AEKEPN_02130,HMDFDK_13490,DGIGOC_15785,OELDID_15745,NDFCFG_27750,NFOGGK_03290,DILMCD_01390,CJMOAC_22750,GGGPIC_03020,KLDNLM_03795,KAGCPN_03400,NDMAAC_03395,CELEIN_02125,FNPKGJ_02415,OFJEOJ_27970,OGPOLJ_02175,
group_5338,,SMI1/KNR4 family protein,0_refound_1500_stop,1_refound_5644_stop,2_refound_9805_stop,3_refound_13874_stop,4_refound_18051_stop,5_refound_22155_stop,6_refound_26244_stop,CJMOAC_25825,8_refound_34774_stop,9_refound_38894,10_refound_43033_stop,11_refound_47263_stop,12_refound_51374,13_refound_55723,14_refound_59805,15_refound_64036_stop,
group_5333,,DJ-1 family protein,AEKEPN_27420,,DGIGOC_22200,OELDID_09330,NDFCFG_04330,NFOGGK_25525,DILMCD_07750,CJMOAC_05055,8_refound_37007,KLDNLM_25915,KAGCPN_25595,NDMAAC_25605,CELEIN_25515,13_refound_57885,OFJEOJ_04395,15_refound_66211,MOKLEP_13805
group_5326,,Sugar ABC transporter substrate-binding protein,AEKEPN_04630,HMDFDK_10945,DGIGOC_13110,OELDID_18420,4_refound_16536_stop,NFOGGK_05965,DILMCD_23220,CJMOAC_19695,GGGPIC_06155,9_refound_37288_stop,10_refound_41379,11_refound_45606,CELEIN_04900,FNPKGJ_05645,14_refound_58141_stop,OGPOLJ_05310,
mbtH,mbtH;,MbtH family protein,AEKEPN_22730,1_refound_8132,DGIGOC_27360,OELDID_04170,NDFCFG_08125,NFOGGK_20375,DILMCD_12965,CJMOAC_10610,GGGPIC_19535,KLDNLM_20670,KAGCPN_09940,NDMAAC_09935,CELEIN_20230,FNPKGJ_21995,OFJEOJ_09920,OGPOLJ_21865,
group_5322,,hypothetical protein;iron ABC transporter substrate-binding protein,AEKEPN_03005,1_refound_8130_stop,DGIGOC_14905,OELDID_16625,NDFCFG_26920,NFOGGK_04170,6_refound_28766_stop,CJMOAC_23650,GGGPIC_03850,KLDNLM_04715,KAGCPN_04305,NDMAAC_04300,12_refound_53746_stop,FNPKGJ_03255,OFJEOJ_27155,OGPOLJ_03015,
group_5319,,DUF4124 domain-containing protein;hypothetical protein,AEKEPN_01605,HMDFDK_13865,DGIGOC_16180,OELDID_15350,NDFCFG_28155,NFOGGK_02895,DILMCD_01785,CJMOAC_22345,8_refound_37005_stop,KLDNLM_03390,KAGCPN_02890,NDMAAC_02885,CELEIN_01730,13_refound_57883_stop,OFJEOJ_28370,,16_refound_69280
group_5314,,PKS-ER domain-containing protein,0_refound_2564_stop,1_refound_6671_stop,2_refound_10940,3_refound_15017,4_refound_19023,5_refound_23296,6_refound_27469,7_refound_31447_stop,8_refound_35566_stop,9_refound_39729,10_refound_43887,11_refound_48123,12_refound_52428,13_refound_56517,OFJEOJ_10085,15_refound_64908,
group_5311,,MFS domain-containing protein;MFS transporter,0_refound_3873,1_refound_8128,2_refound_12225_stop,3_refound_16297_stop,4_refound_20469,5_refound_24567_stop,6_refound_28764_stop,CJMOAC_30960,8_refound_37004_stop,KLDNLM_12165,KAGCPN_14895,NDMAAC_14890,12_refound_53744,13_refound_57880_stop,OFJEOJ_10745,15_refound_66207_stop,
group_5306,pbuX,Purine permease;xanthine permease XanP,AEKEPN_15055,HMDFDK_02765,DGIGOC_03360,OELDID_28170,NDFCFG_13525,NFOGGK_15700,DILMCD_18775,CJMOAC_31480,GGGPIC_15295,9_refound_41102_stop,10_refound_45325,11_refound_49565,CELEIN_14040,FNPKGJ_13105,OFJEOJ_15835,OGPOLJ_13535,
group_5305,,hypothetical protein,0_refound_3870_stop,,DGIGOC_10785,OELDID_20745,NDFCFG_23745,NFOGGK_08290,DILMCD_11180,7_refound_32822,GGGPIC_21325,9_refound_41101,10_refound_45324_stop,11_refound_49564_stop,CELEIN_21905,13_refound_57878_stop,14_refound_62019_stop,15_refound_66205_stop,16_refound_69276
group_5304,,hypothetical protein;Diguanylate cyclase AdrA;diguanylate cyclase AdrA,AEKEPN_19815,HMDFDK_25815,DGIGOC_00155,OELDID_02705,NDFCFG_14245,NFOGGK_18910,DILMCD_21820,CJMOAC_30510,8_refound_37001_stop,KLDNLM_19055;KLDNLM_19060,KAGCPN_19250,NDMAAC_19260,CELEIN_11095,FNPKGJ_24140,14_refound_62018_stop,OGPOLJ_23880,
group_5302,,cytochrome C biogenesis protein CcsA,0_refound_1237,1_refound_5371,2_refound_9526,3_refound_13594,4_refound_17816_stop,5_refound_21875,6_refound_25969,CJMOAC_06040,8_refound_34545_stop,9_refound_38666_stop,10_refound_42811_stop,11_refound_47040_stop,12_refound_51109_stop,13_refound_55469,14_refound_59557,15_refound_63785,
group_5298,,YghA protein;Membrane protein,0_refound_3868,1_refound_8122,2_refound_12220_stop,3_refound_16293_stop,4_refound_20465_stop,5_refound_24563_stop,DILMCD_21525,,8_refound_36999_stop,9_refound_41098,10_refound_45321,11_refound_49561,CELEIN_11415,13_refound_57876_stop,14_refound_62014,15_refound_66203,16_refound_69275
argR,argR,transcriptional regulator ArgR,AEKEPN_24515,HMDFDK_09150,DGIGOC_10890,OELDID_20640,NDFCFG_23850,NFOGGK_08185,DILMCD_11080,CJMOAC_08850,GGGPIC_21430,KLDNLM_22700,KAGCPN_22410,NDMAAC_22415,CELEIN_22010,FNPKGJ_24000,OFJEOJ_08255,OGPOLJ_23755,
group_5296,,dolichyl-phosphate-mannose--protein mannosyltransferase;PMT-2 domain-containing protein,AEKEPN_13705,1_refound_8121_stop,2_refound_12219_stop,3_refound_16292_stop,4_refound_20464_stop,5_refound_24562_stop,6_refound_28760_stop,7_refound_32818_stop,8_refound_36998,KLDNLM_11885,KAGCPN_15410,NDMAAC_15405,12_refound_53739,13_refound_57875_stop,14_refound_62013,15_refound_66202_stop,
group_5291,,15-anhydro-D-fructose reductase Afr;oxidoreductase,AEKEPN_17710,1_refound_8119,DGIGOC_05670,OELDID_25860,4_refound_20461_stop,NFOGGK_13400,DILMCD_20180,CJMOAC_31190,GGGPIC_12600,KLDNLM_18450,10_refound_45319_stop,11_refound_49559_stop,CELEIN_12770,FNPKGJ_16935,14_refound_62012,OGPOLJ_17885,
group_5282,,RulA protein,0_refound_3863_stop,HMDFDK_23455,2_refound_12217,3_refound_16290,4_refound_20458_stop,5_refound_24560,6_refound_28758_stop,CJMOAC_10365,8_refound_36994_stop,,10_refound_45316,11_refound_49556,12_refound_53737_stop,13_refound_57872_stop,OFJEOJ_09730,15_refound_66199_stop,16_refound_69269_stop
group_5278,,PHB domain-containing protein;SPFH domain / Band 7 family,AEKEPN_31315,HMDFDK_15685,DGIGOC_18220,OELDID_13310,NDFCFG_00780,NFOGGK_00855,DILMCD_03830,CJMOAC_00910,GGGPIC_00750,KLDNLM_01435,KAGCPN_00680,NDMAAC_00675,CELEIN_29500,FNPKGJ_30895,OFJEOJ_00130,OGPOLJ_30635,
group_5266,,Ntox44 domain-containing protein,0_refound_3860_stop,1_refound_8111_stop,2_refound_12216,3_refound_16289,4_refound_20456_stop,5_refound_24559,6_refound_28757,7_refound_32814_stop,8_refound_36989,KLDNLM_05190,10_refound_45311,11_refound_49551,12_refound_53735,13_refound_57868,OFJEOJ_26605,15_refound_66196,
group_5264,,RND transporter;efflux transporter outer membrane subunit,AEKEPN_00665,HMDFDK_14820,DGIGOC_17195,OELDID_14335,NDFCFG_28995,NFOGGK_01880,DILMCD_02895,CJMOAC_31675,8_refound_36988_stop,KLDNLM_00330,10_refound_45310_stop,11_refound_49550_stop,CELEIN_00730,13_refound_57867_stop,OFJEOJ_29450,15_refound_66195_stop,
group_5259,,chemotaxis protein CheR,AEKEPN_05705,HMDFDK_10350,DGIGOC_12510,OELDID_19020,NDFCFG_24495,NFOGGK_06565,DILMCD_23845,CJMOAC_18990,GGGPIC_07025,KLDNLM_24330,KAGCPN_06390,NDMAAC_06380,CELEIN_05560,FNPKGJ_06490,OFJEOJ_24770,OGPOLJ_06150,
group_5246,,hypothetical protein,,HMDFDK_17740,DGIGOC_20695,OELDID_10835,NDFCFG_02805,NFOGGK_27030,DILMCD_06240,7_refound_32812_stop,GGGPIC_25780,9_refound_41091,10_refound_45307,11_refound_49547,CELEIN_27090,FNPKGJ_28525,14_refound_62005,OGPOLJ_28285,16_refound_69256
group_5243,,hypothetical protein;thiol:disulfide oxidoreductase,0_refound_3858_stop,1_refound_8109,DGIGOC_11605,OELDID_19925,4_refound_20453_stop,NFOGGK_07470,DILMCD_24695,CJMOAC_18185,8_refound_36985,KLDNLM_07690,10_refound_45306_stop,11_refound_49546_stop,CELEIN_06425,FNPKGJ_06955,,OGPOLJ_06610,16_refound_69255_stop
group_5240,,fimbria A protein;Fimbrial domain-containing protein,0_refound_3857_stop,1_refound_8108,2_refound_12213_stop,3_refound_16286_stop,4_refound_20452_stop,5_refound_24556_stop,6_refound_28755,7_refound_32810,GGGPIC_13805,9_refound_41090_stop,10_refound_45304_stop,11_refound_49544_stop,12_refound_53734_stop,FNPKGJ_05865,14_refound_62003,OGPOLJ_05530,
group_5232,,Arm-DNA-bind-3 domain-containing protein;Prophage CP4-57 integrase;Tyr recombinase domain-containing protein;integrase,AEKEPN_03750,HMDFDK_11845,DGIGOC_14110,OELDID_17420,NDFCFG_26285,NFOGGK_04965,DILMCD_22270;DILMCD_22275,CJMOAC_20615,GGGPIC_23980,KLDNLM_05445,KAGCPN_05060,NDMAAC_05055,12_refound_53732_stop,FNPKGJ_26760,14_refound_62001_stop,15_refound_66190_stop,
group_5231,nha;,monovalent cation/H+ antiporter subunit A;DUF4040 domain-containing protein,AEKEPN_20080,HMDFDK_25895,DGIGOC_00955,OELDID_01905,NDFCFG_11150,NFOGGK_18110,DILMCD_21140,CJMOAC_14015,GGGPIC_17295,KLDNLM_18895,KAGCPN_17220,NDMAAC_17215,CELEIN_11820,FNPKGJ_18270,OFJEOJ_17800,OGPOLJ_19235;OGPOLJ_19230,
group_5230,,AraC family transcriptional regulator,AEKEPN_16540,1_refound_8105_stop,DGIGOC_04735,OELDID_26795,4_refound_20448_stop,NFOGGK_14325,DILMCD_17390,CJMOAC_26220,GGGPIC_15125,KLDNLM_15120,KAGCPN_15965,NDMAAC_15960,CELEIN_15680,FNPKGJ_13290,OFJEOJ_13725,OGPOLJ_13720,
group_5229,,antimetabolite toxin biosynthesis protein MgoB,0_refound_3855_stop,1_refound_8106,DGIGOC_17275,OELDID_14255,4_refound_20449,NFOGGK_01800,DILMCD_02980,7_refound_32808_stop,GGGPIC_01520,KLDNLM_00400,KAGCPN_02010,NDMAAC_02010,CELEIN_00655,FNPKGJ_00635,OFJEOJ_29555,OGPOLJ_00630,
group_5226,,hypothetical protein,0_refound_3856_stop,1_refound_8107,DGIGOC_04415,OELDID_27115,4_refound_20450,NFOGGK_14645,DILMCD_17620,CJMOAC_26470,8_refound_36983,9_refound_41088,10_refound_45303,11_refound_49543,CELEIN_15450,13_refound_57862_stop,OFJEOJ_14145,15_refound_66189,
group_5219,,quinone oxidoreductase,AEKEPN_22640,1_refound_4500_stop,DGIGOC_06450,OELDID_25080,4_refound_16863_stop,NFOGGK_12625,6_refound_25133_stop,7_refound_29389_stop,8_refound_33501,9_refound_37643_stop,KAGCPN_01850,NDMAAC_01850,CELEIN_13570,13_refound_54423_stop,14_refound_58527_stop,15_refound_62740_stop,
group_5212,,Autoinducer 2-binding periplasmic protein LuxP;LacI family transcriptional regulator,0_refound_3848_stop,1_refound_8097_stop,2_refound_12207_stop,3_refound_16280_stop,4_refound_20441_stop,5_refound_24550_stop,6_refound_28747_stop,7_refound_32805,GGGPIC_11820,9_refound_41083_stop,10_refound_45298_stop,11_refound_49538_stop,12_refound_53726_stop,FNPKGJ_18960,14_refound_61996_stop,OGPOLJ_19920,
group_5195,,DUF6572 domain-containing protein,0_refound_3843,1_refound_8091,DGIGOC_05795,OELDID_25735,4_refound_20436,NFOGGK_13275,6_refound_28744,CJMOAC_30150,8_refound_36975,KLDNLM_12705,10_refound_45296,11_refound_49536,12_refound_53721_stop,13_refound_57859_stop,OFJEOJ_18300,,16_refound_69245
group_5187,,DUF2388 domain-containing protein;Holliday junction resolvase,,HMDFDK_14980,DGIGOC_17405,OELDID_14125,4_refound_20434,NFOGGK_01670,6_refound_28742_stop,CJMOAC_00135,GGGPIC_01425,9_refound_41075_stop,KAGCPN_01715,NDMAAC_01710,12_refound_53719_stop,FNPKGJ_00530,OFJEOJ_29680,OGPOLJ_00525,16_refound_69242
group_5184,,TonB-dependent receptor,AEKEPN_00895,HMDFDK_14465,DGIGOC_16955,OELDID_14575,NDFCFG_28805,NFOGGK_02120,DILMCD_02570,CJMOAC_21405,GGGPIC_02020,9_refound_41074,10_refound_45291_stop,11_refound_49531_stop,CELEIN_01000,FNPKGJ_01090,OFJEOJ_29130,OGPOLJ_01070,
group_5183,,addiction module toxin HicA family,0_refound_3841,1_refound_8088_stop,DGIGOC_25445,OELDID_06085,4_refound_20433,NFOGGK_22280,6_refound_28741_stop,7_refound_32800_stop,GGGPIC_08000,9_refound_41073,KAGCPN_08035,NDMAAC_08030,CELEIN_07000,FNPKGJ_07535,OFJEOJ_23340,OGPOLJ_07170,
group_5167,,hypothetical protein;amino acid ABC transporter substrate-binding protein;Amino acid ABC transporter substrate-binding protein,AEKEPN_28945,HMDFDK_17755,DGIGOC_20710,OELDID_10820,NDFCFG_02820,NFOGGK_27015,DILMCD_06255,CJMOAC_03445,GGGPIC_25765,,KAGCPN_27235;KAGCPN_27240,NDMAAC_27235;NDMAAC_27240,CELEIN_27075,FNPKGJ_28510,OFJEOJ_02690,OGPOLJ_28270,16_refound_69237_stop
group_5164,,Paraquat-inducible protein A;paraquat-inducible protein A,AEKEPN_15195,HMDFDK_06220,DGIGOC_06600,OELDID_24930,NDFCFG_13575,NFOGGK_12475,DILMCD_20945,CJMOAC_08570,8_refound_36969_stop,KLDNLM_15890,KAGCPN_11270,NDMAAC_11265,CELEIN_11970,FNPKGJ_20135,OFJEOJ_08060,15_refound_66184_stop,
group_5163,,antibiotic biosynthesis monooxygenase;Antibiotic biosynthesis monooxygenase,AEKEPN_25395,HMDFDK_21360,DGIGOC_24605,OELDID_06925,NDFCFG_06165,NFOGGK_23120,DILMCD_10150,CJMOAC_07790,GGGPIC_22470,KLDNLM_23570,KAGCPN_23295,NDMAAC_23300,CELEIN_22955,FNPKGJ_25025,OFJEOJ_07200,OGPOLJ_24770,
